ANO_ELEICAO,NUM_TURNO,COD_MUN_IBGE,NOME_MACRO,CODIGO_CARGO,DESCRICAO_CARGO,NUMERO_PARTIDO,SIGLA_PARTIDO,QTDE_VOTOS,Num_Parties,Tot_votes_2000,Pct_Votes_2000,Rank,Incumbent,first_rank_vote_pct,second_rank_vote_pct,Win_Margin_2000,Pct_Votes_2004
2000,1,1100023,Norte,11,PREFEITO,14,PTB,7209,5,33499,0.21520045374488792,2,0,0.504432968148303,0.21520045374488792,-0.289232514403415,0.43864074788544294
2000,1,1100031,Norte,11,PREFEITO,12,PDT,1275,3,3963,0.32172596517789553,2,0,0.549078980570275,0.32172596517789553,-0.2273530153923795,0.5297489082969432
2000,1,1100049,Norte,11,PREFEITO,15,PMDB,16686,3,32068,0.5203317949357615,1,1,0.5203317949357615,0.2541786204315829,0.26615317450417864,0.6072228812442335
2000,1,1100072,Norte,11,PREFEITO,13,PT,1713,2,4142,0.41356832448092706,2,0,0.5864316755190729,0.41356832448092706,-0.17286335103814587,0.27533747589457896
2000,1,1100098,Norte,11,PREFEITO,14,PTB,4862,3,12654,0.38422633159475267,1,1,0.38422633159475267,0.34700489963647857,0.0372214319582741,0.38021325415035767
2000,1,1100106,Norte,11,PREFEITO,15,PMDB,6870,4,16761,0.4098800787542509,1,1,0.4098800787542509,0.26848040093073205,0.14139967782351887,0.315839593693789
2000,1,1100106,Norte,11,PREFEITO,45,PSDB,4500,4,16761,0.26848040093073205,2,0,0.4098800787542509,0.26848040093073205,-0.14139967782351887,0.23621838958840335
2000,1,1100114,Norte,11,PREFEITO,15,PMDB,15107,3,26700,0.5658052434456928,1,1,0.5658052434456928,0.2864419475655431,0.27936329588014974,0.4784899034240562
2000,1,1100122,Norte,11,PREFEITO,25,PFL,12795,3,46723,0.27384799777411556,2,0,0.4701324829313186,0.27384799777411556,-0.19628448515720304,0.3550717959115961
2000,1,1100148,Norte,11,PREFEITO,14,PTB,6895,3,9116,0.7563624396665204,1,1,0.7563624396665204,0.13712154453707767,0.6192408951294427,0.4889872078484178
2000,1,1100155,Norte,11,PREFEITO,15,PMDB,4827,3,19588,0.2464263835001021,2,0,0.5573820706555034,0.2464263835001021,-0.3109556871554013,0.2538821328344247
2000,1,1100205,Norte,11,PREFEITO,40,PSB,50908,5,142927,0.35618182708655466,2,0,0.42369881128128345,0.35618182708655466,-0.06751698419472879,0.30839385143605785
2000,1,1100254,Norte,11,PREFEITO,15,PMDB,6297,4,13286,0.47395754930001505,1,1,0.47395754930001505,0.4056149330121933,0.06834261628782173,0.2651549169286035
2000,1,1100288,Norte,11,PREFEITO,14,PTB,6488,2,21339,0.30404423824921506,2,0,0.695955761750785,0.30404423824921506,-0.39191152350156994,0.5046786759553156
2000,1,1100296,Norte,11,PREFEITO,45,PSDB,2675,3,6581,0.4064731803677253,1,1,0.4064731803677253,0.3657498860355569,0.04072329433216837,0.3838383838383838
2000,1,1100304,Norte,11,PREFEITO,15,PMDB,8635,4,26222,0.32930363816642516,2,0,0.6089543131721455,0.32930363816642516,-0.2796506750057204,0.6287748503817844
2000,1,1100320,Norte,11,PREFEITO,13,PT,3668,3,7483,0.490177736202058,1,1,0.490177736202058,0.304022450888681,0.186155285313377,0.18732970027247955
2000,1,1100338,Norte,11,PREFEITO,25,PFL,2075,3,5209,0.3983490113265502,2,0,0.3991169130351315,0.3983490113265502,-7.6790170858132e-4,0.28150592837061483
2000,1,1100346,Norte,11,PREFEITO,13,PT,4181,3,9593,0.4358386323360784,1,1,0.4358386323360784,0.2957364745126655,0.1401021578234129,0.36695095948827294
2000,1,1100379,Norte,11,PREFEITO,25,PFL,2505,2,4495,0.557285873192436,1,1,0.557285873192436,0.44271412680756395,0.11457174638487211,0.3107576840600429
2000,1,1100379,Norte,11,PREFEITO,45,PSDB,1990,2,4495,0.44271412680756395,2,0,0.557285873192436,0.44271412680756395,-0.11457174638487211,0.2600071479628306
2000,1,1100452,Norte,11,PREFEITO,13,PT,2261,5,7899,0.286238764400557,1,1,0.286238764400557,0.2747183187745284,0.011520445626028608,0.5082881032712336
2000,1,1100601,Norte,11,PREFEITO,25,PFL,1540,3,2899,0.5312176612625044,1,1,0.5312176612625044,0.44705070714039324,0.08416695412211112,0.595072463768116
2000,1,1100700,Norte,11,PREFEITO,15,PMDB,1739,5,3650,0.47643835616438357,1,1,0.47643835616438357,0.1926027397260274,0.2838356164383562,0.2720196640721016
2000,1,1100809,Norte,11,PREFEITO,45,PSDB,3326,4,5968,0.5573056300268097,1,1,0.5573056300268097,0.3019436997319035,0.25536193029490617,0.26309257880367337
2000,1,1100908,Norte,11,PREFEITO,40,PSB,1713,3,2927,0.5852408609497779,1,1,0.5852408609497779,0.35907072087461567,0.22617014007516223,0.40139751552795033
2000,1,1100940,Norte,11,PREFEITO,13,PT,958,3,2832,0.3382768361581921,2,0,0.5017655367231638,0.3382768361581921,-0.16348870056497172,0.46923390383048086
2000,1,1101104,Norte,11,PREFEITO,15,PMDB,1330,4,3154,0.42168674698795183,2,0,0.4540266328471782,0.42168674698795183,-0.03233988585922637,0.25272969374167775
2000,1,1101203,Norte,11,PREFEITO,13,PT,2198,2,5142,0.42746013224426294,2,0,0.5725398677557371,0.42746013224426294,-0.14507973551147413,0.5381272224417226
2000,1,1101302,Norte,11,PREFEITO,13,PT,3665,3,6524,0.5617719190680565,1,1,0.5617719190680565,0.3756897608828939,0.18608215818516255,0.27017592851158895
