"ANO_ELEICAO","NUM_TURNO","COD_MUN_IBGE","NOME_MACRO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2004","1","2307635","Nordeste","11","PREFEITO","65","PC do B","2288"
"2004","1","2309409","Nordeste","11","PREFEITO","65","PC do B","95"
"2004","1","2312007","Nordeste","11","PREFEITO","65","PC do B","8237"
"2004","1","2312205","Nordeste","11","PREFEITO","65","PC do B","540"
"2004","1","2406403","Nordeste","11","PREFEITO","65","PC do B","16"
"2004","1","2410603","Nordeste","11","PREFEITO","65","PC do B","1142"
"2004","1","2501104","Nordeste","11","PREFEITO","65","PC do B","232"
"2004","1","2603454","Nordeste","11","PREFEITO","65","PC do B","32790"
"2004","1","2604106","Nordeste","11","PREFEITO","65","PC do B","773"
"2004","1","2604809","Nordeste","11","PREFEITO","65","PC do B","49"
"2004","1","2606804","Nordeste","11","PREFEITO","65","PC do B","1004"
"2004","1","2609303","Nordeste","11","PREFEITO","65","PC do B","3579"
"2004","1","2609600","Nordeste","11","PREFEITO","65","PC do B","121483"
"2004","1","2612406","Nordeste","11","PREFEITO","65","PC do B","5490"
"2004","1","2613107","Nordeste","11","PREFEITO","65","PC do B","330"
"2004","1","2614808","Nordeste","11","PREFEITO","65","PC do B","2"
"2004","1","2701357","Nordeste","11","PREFEITO","65","PC do B","27"
"2004","1","2703809","Nordeste","11","PREFEITO","65","PC do B","783"
"2004","1","2704708","Nordeste","11","PREFEITO","65","PC do B","279"
"2004","1","2707305","Nordeste","11","PREFEITO","65","PC do B","53"
"2004","1","2802106","Nordeste","11","PREFEITO","65","PC do B","964"
"2004","1","2905206","Nordeste","11","PREFEITO","65","PC do B","702"
"2004","1","2907558","Nordeste","11","PREFEITO","65","PC do B","47"
"2004","1","2910503","Nordeste","11","PREFEITO","65","PC do B","15"
"2004","1","2913457","Nordeste","11","PREFEITO","65","PC do B","193"
"2004","1","2918555","Nordeste","11","PREFEITO","65","PC do B","17"
"2004","1","2922300","Nordeste","11","PREFEITO","65","PC do B","61"
"2004","1","2923001","Nordeste","11","PREFEITO","65","PC do B","45"
"2004","1","2923902","Nordeste","11","PREFEITO","65","PC do B","28"
"2004","1","2929370","Nordeste","11","PREFEITO","65","PC do B","39"
"2004","1","2930709","Nordeste","11","PREFEITO","65","PC do B","4756"
"2004","1","2932002","Nordeste","11","PREFEITO","65","PC do B","43"
"2004","1","2932804","Nordeste","11","PREFEITO","65","PC do B","144"
"2004","1","3100609","Sudeste","11","PREFEITO","65","PC do B","104"
"2004","1","3115300","Sudeste","11","PREFEITO","65","PC do B","5665"
"2004","1","3121803","Sudeste","11","PREFEITO","65","PC do B","71"
"2004","1","3155801","Sudeste","11","PREFEITO","65","PC do B","17"
"2004","1","3159803","Sudeste","11","PREFEITO","65","PC do B","74"
"2004","1","3163003","Sudeste","11","PREFEITO","65","PC do B","635"
"2004","1","3203320","Sudeste","11","PREFEITO","65","PC do B","180"
"2004","1","3204104","Sudeste","11","PREFEITO","65","PC do B","504"
"2004","1","3302908","Sudeste","11","PREFEITO","65","PC do B","143"
"2004","1","3304557","Sudeste","11","PREFEITO","65","PC do B","238098"
"2004","1","3304755","Sudeste","11","PREFEITO","65","PC do B","1468"
"2004","1","3305406","Sudeste","11","PREFEITO","65","PC do B","155"
"2004","1","3306107","Sudeste","11","PREFEITO","65","PC do B","290"
"2004","1","3508405","Sudeste","11","PREFEITO","65","PC do B","142"
"2004","1","3512209","Sudeste","11","PREFEITO","65","PC do B","139"
"2004","1","3518305","Sudeste","11","PREFEITO","65","PC do B","187"
"2004","1","3518701","Sudeste","11","PREFEITO","65","PC do B","14210"
"2004","1","3519303","Sudeste","11","PREFEITO","65","PC do B","6087"
"2004","1","3519600","Sudeste","11","PREFEITO","65","PC do B","4612"
"2004","1","3529708","Sudeste","11","PREFEITO","65","PC do B","311"
"2004","1","3533007","Sudeste","11","PREFEITO","65","PC do B","88"
"2004","1","4101200","Sul","11","PREFEITO","65","PC do B","98"
"2004","1","4108403","Sul","11","PREFEITO","65","PC do B","3489"
"2004","1","4116604","Sul","11","PREFEITO","65","PC do B","1"
"2004","1","4118501","Sul","11","PREFEITO","65","PC do B","11792"
"2004","1","4127304","Sul","11","PREFEITO","65","PC do B","280"
"2004","1","4207502","Sul","11","PREFEITO","65","PC do B","271"
"2004","1","4302709","Sul","11","PREFEITO","65","PC do B","122"
"2004","1","4305108","Sul","11","PREFEITO","65","PC do B","3538"
"2004","1","4309209","Sul","11","PREFEITO","65","PC do B","3534"
"2004","1","4310207","Sul","11","PREFEITO","65","PC do B","17515"
"2004","1","5101803","Centro-Oeste","11","PREFEITO","65","PC do B","11686"
"2004","1","5105200","Centro-Oeste","11","PREFEITO","65","PC do B","39"
"2004","1","5205513","Centro-Oeste","11","PREFEITO","65","PC do B","204"
"2004","1","2106904","Nordeste","11","PREFEITO","21","PCB","573"
"2004","1","2112803","Nordeste","11","PREFEITO","21","PCB","192"
"2004","1","2906501","Nordeste","11","PREFEITO","21","PCB","82"
"2004","1","3300407","Sudeste","11","PREFEITO","21","PCB","562"
"2004","1","3303401","Sudeste","11","PREFEITO","21","PCB","7737"
"2004","1","3303500","Sudeste","11","PREFEITO","21","PCB","947"
"2004","1","3304904","Sudeste","11","PREFEITO","21","PCB","4224"
"2004","1","3306107","Sudeste","11","PREFEITO","21","PCB","441"
"2004","1","3519303","Sudeste","11","PREFEITO","21","PCB","32"
"2004","1","3530607","Sudeste","11","PREFEITO","21","PCB","1166"
"2004","1","3544251","Sudeste","11","PREFEITO","21","PCB","80"
"2004","1","3550308","Sudeste","11","PREFEITO","21","PCB","3138"
"2004","1","1301902","Norte","11","PREFEITO","29","PCO","445"
"2004","1","1400100","Norte","11","PREFEITO","29","PCO","840"
"2004","1","2304400","Nordeste","11","PREFEITO","29","PCO","1840"
"2004","1","2307650","Nordeste","11","PREFEITO","29","PCO","74"
"2004","1","2507507","Nordeste","11","PREFEITO","29","PCO","3199"
"2004","1","2508901","Nordeste","11","PREFEITO","29","PCO","36"
"2004","1","2804805","Nordeste","11","PREFEITO","29","PCO","913"
"2004","1","2900702","Nordeste","11","PREFEITO","29","PCO","29"
"2004","1","2913606","Nordeste","11","PREFEITO","29","PCO","135"
"2004","1","2914802","Nordeste","11","PREFEITO","29","PCO","184"
"2004","1","2927408","Nordeste","11","PREFEITO","29","PCO","642"
"2004","1","2932309","Nordeste","11","PREFEITO","29","PCO","137"
"2004","1","3106200","Sudeste","11","PREFEITO","29","PCO","16927"
"2004","1","3107109","Sudeste","11","PREFEITO","29","PCO","508"
"2004","1","3143302","Sudeste","11","PREFEITO","29","PCO","3007"
"2004","1","3152204","Sudeste","11","PREFEITO","29","PCO","100"
"2004","1","3201209","Sudeste","11","PREFEITO","29","PCO","128"
"2004","1","3205002","Sudeste","11","PREFEITO","29","PCO","386"
"2004","1","3205309","Sudeste","11","PREFEITO","29","PCO","409"
"2004","1","3301702","Sudeste","11","PREFEITO","29","PCO","218"
"2004","1","3303906","Sudeste","11","PREFEITO","29","PCO","481"
"2004","1","3304557","Sudeste","11","PREFEITO","29","PCO","2767"
"2004","1","3506003","Sudeste","11","PREFEITO","29","PCO","125"
"2004","1","3509502","Sudeste","11","PREFEITO","29","PCO","3019"
"2004","1","3513504","Sudeste","11","PREFEITO","29","PCO","1290"
"2004","1","3518800","Sudeste","11","PREFEITO","29","PCO","357"
"2004","1","3525300","Sudeste","11","PREFEITO","29","PCO","281"
"2004","1","3525706","Sudeste","11","PREFEITO","29","PCO","451"
"2004","1","3529401","Sudeste","11","PREFEITO","29","PCO","681"
"2004","1","3538709","Sudeste","11","PREFEITO","29","PCO","511"
"2004","1","3547809","Sudeste","11","PREFEITO","29","PCO","238"
"2004","1","3548708","Sudeste","11","PREFEITO","29","PCO","355"
"2004","1","3550308","Sudeste","11","PREFEITO","29","PCO","1479"
"2004","1","4309308","Sul","11","PREFEITO","29","PCO","360"
"2004","1","4314902","Sul","11","PREFEITO","29","PCO","1309"
"2004","1","5201405","Centro-Oeste","11","PREFEITO","29","PCO","548"
"2004","1","1100015","Norte","11","PREFEITO","12","PDT","7054"
"2004","1","1100031","Norte","11","PREFEITO","12","PDT","1941"
"2004","1","1100106","Norte","11","PREFEITO","12","PDT","4693"
