"ANO_ELEICAO","NUM_TURNO","COD_MUN_IBGE","NOME_MACRO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2000","1","1304203","Norte","11","PREFEITO","26","PAN","150"
"2000","1","1501402","Norte","11","PREFEITO","26","PAN","516"
"2000","1","2302800","Nordeste","11","PREFEITO","26","PAN","212"
"2000","1","2403608","Nordeste","11","PREFEITO","26","PAN","690"
"2000","1","2411205","Nordeste","11","PREFEITO","26","PAN","127"
"2000","1","2412559","Nordeste","11","PREFEITO","26","PAN","38"
"2000","1","2616407","Nordeste","11","PREFEITO","26","PAN","130"
"2000","1","2903300","Nordeste","11","PREFEITO","26","PAN","2135"
"2000","1","2917607","Nordeste","11","PREFEITO","26","PAN","115"
"2000","1","2920700","Nordeste","11","PREFEITO","26","PAN","1968"
"2000","1","2926103","Nordeste","11","PREFEITO","26","PAN","24"
"2000","1","3104205","Sudeste","11","PREFEITO","26","PAN","1293"
"2000","1","3107505","Sudeste","11","PREFEITO","26","PAN","36"
"2000","1","3136652","Sudeste","11","PREFEITO","26","PAN","384"
"2000","1","3147204","Sudeste","11","PREFEITO","26","PAN","467"
"2000","1","3168705","Sudeste","11","PREFEITO","26","PAN","1041"
"2000","1","3204500","Sudeste","11","PREFEITO","26","PAN","23"
"2000","1","3205101","Sudeste","11","PREFEITO","26","PAN","385"
"2000","1","3300308","Sudeste","11","PREFEITO","26","PAN","1779"
"2000","1","3522208","Sudeste","11","PREFEITO","26","PAN","89"
"2000","1","3550308","Sudeste","11","PREFEITO","26","PAN","5110"
"2000","1","3553708","Sudeste","11","PREFEITO","26","PAN","652"
"2000","1","4115200","Sul","11","PREFEITO","26","PAN","872"
"2000","1","4115739","Sul","11","PREFEITO","26","PAN","258"
"2000","1","4321600","Sul","11","PREFEITO","26","PAN","90"
"2000","1","1100304","Norte","11","PREFEITO","65","PC do B","204"
"2000","1","1302603","Norte","11","PREFEITO","65","PC do B","9409"
"2000","1","2201002","Nordeste","11","PREFEITO","65","PC do B","149"
"2000","1","2304400","Nordeste","11","PREFEITO","65","PC do B","282094"
"2000","1","2304707","Nordeste","11","PREFEITO","65","PC do B","1392"
"2000","1","2305605","Nordeste","11","PREFEITO","65","PC do B","26"
"2000","1","2307304","Nordeste","11","PREFEITO","65","PC do B","253"
"2000","1","2601102","Nordeste","11","PREFEITO","65","PC do B","135"
"2000","1","2609600","Nordeste","11","PREFEITO","65","PC do B","59066"
"2000","1","2702405","Nordeste","11","PREFEITO","65","PC do B","1525"
"2000","1","2708501","Nordeste","11","PREFEITO","65","PC do B","6"
"2000","1","2907103","Nordeste","11","PREFEITO","65","PC do B","28"
"2000","1","2911600","Nordeste","11","PREFEITO","65","PC do B","239"
"2000","1","2911709","Nordeste","11","PREFEITO","65","PC do B","7023"
"2000","1","2914000","Nordeste","11","PREFEITO","65","PC do B","312"
"2000","1","2922508","Nordeste","11","PREFEITO","65","PC do B","46"
"2000","1","3100906","Sudeste","11","PREFEITO","65","PC do B","120"
"2000","1","3507001","Sudeste","11","PREFEITO","65","PC do B","189"
"2000","1","3520004","Sudeste","11","PREFEITO","65","PC do B","2419"
"2000","1","3522901","Sudeste","11","PREFEITO","65","PC do B","217"
