partyid,pnintst,watchnat,educad,readnews,gender,income,white,Info_Proposition,support,Watched_Program,Encouraged_to_Watch
1,4,7,11,5,1,5.900900900900901,1,4,NA,0,1
2,4,7,7,7,1,7,1,4,1,0,1
5,3,6,9,6,0,6,0,2,0,1,1
3,4,7,12,7,0,11,1,4,1,0,1
3.5060975609756095,3,2,8,1,1,3,0,3,1,0,1
1,4,6,11,6,1,4,1,4,1,1,1
5,3,6,11,4,1,4,1,2,1,1,1
4,3,7,9,7,1,6,1,4,1,0,1
4,2,1,5,7,1,1,1,2,1,0,1
5,4,7,8,7,1,8,1,3,1,0,0
2,2,4,11,4,1,1,1,1,1,0,0
2,4,6,11,5,1,11,1,4,1,0,0
3.5060975609756095,4,7,13,7,1,5.900900900900901,1,3,1,0,0
1,4,7,11,7,1,3,1,4,1,0,0
3,4,7,9,5,1,4,1,4,1,0,0
2,3,7,11,7,1,9,1,4,0,1,0
1,4,7,12,7,1,10,1,4,0,0,0
7,3,7,9,7,1,5,1,2,0,0,0
5,3,7,11,6,0,3,1,2,1,0,0
2,4,7,11,7,0,4,1,4,1,0,0
6,4,7,11,7,1,9,1,3,1,0,0
7,4,7,9,7,1,8,1,4,1,0,0
6,4,7,11,7,0,5.900900900900901,1,4,0,0,0
2,3,7,10,5,1,3,0,2,1,1,0
7,3,6,7,6,1,3,0,4,0,0,0
3,4,6,12,7,0,9,1,4,1,0,0
6,4,7,9,7,0,6,0.7766599597585513,3,1,0,0
2,2,7,7,3,1,6,0,3,NA,0,0
6,4,1,13,7,1,4,0,4,0,0,0
5,3,7,11,6,1,4,1,3,1,0,0
2,2,7,4,1,1,5,0,1,1,0,0
6,4,7,4,7,0,2,0,4,0,0,0
4,3,6,8,6,1,2,1,4,1,0,0
2,4,7,12,7,0,11,0,4,1,0,0
1,4,7,9,6,1,5.900900900900901,1,4,0,1,0
2,3,7,11,6,1,8,1,2,1,0,0
1,4,7,9,7,0,7,1,4,1,0,0
6,4,7,11,7,0,9,1,3,0,0,0
1,4,7,4,5,0,2,1,3,1,0,0
1,4,7,9,5,0,5.900900900900901,1,3,NA,0,0
6,4,4,10,2,1,9,1,3,0,0,0
1,4,7,7,7,1,5,1,4,0,0,0
1,4,7,2,7,0,5,0,3,NA,0,0
6,3,7,9,7,1,6,0,3,0,1,0
2,4,7,11,7,1,3,1,4,1,0,0
4,4,7,11,7,0,10,1,4,1,0,0
5,4,6,11,7,0,5.900900900900901,0,4,0,0,0
1,3,6,11,7,1,5.900900900900901,1,4,1,0,0
1,4,6,12,7,1,7,1,4,1,0,0
7,3,7,4,4,1,4,0,4,0,0,0
1,3,6,4,4,0,11,1,3,1,0,0
6,4,7,9,7,1,8,1,4,0,0,0
1,3,4,4,6,1,4,1,4,0,0,0
