cve_entIFE,cve_mpioIFE,seccion,pobtot1994,avgpoverty,pobelegiblep,treatment,numerotreated,numerocontrol,one_random,two_random,early_progresa_p,villages,villages2,pri1994,votos_totales1994,pan1994,prd1994,t2000,t1994,pri2000s,pri1994s,pan2000s,pan1994s,prd2000s,prd1994s,rep_total,rep_PAN,rep_PRD,rep_PRI,_Ivillages_2,_Ivillages_3,_Ivillages_4,_Ivillages_5,_Ivillages_6,_Ivillages_7,_Ivillages_8,_Ivillages_9,_Ivillages_10,_Ivillages_11,_Ivillages_12,_Ivillages_13,_Ivillages_14
12,2,387,533,5,1,1,1,NA,1,0,1,3,NA,111,145,1,8,0.71856290102005,0.6344926357269287,0.56886225938797,0.4857150614261627,0.005988024175167084,0.004375811200588942,0.11976047605276108,0.03500648960471153,6,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2,400,1080,5,1,0,NA,1,1,0,0.7614678740501404,12,NA,49,212,0,136,0.6583071947097778,0.4222157299518585,0.17868338525295258,0.09758760035037994,0.006269592326134443,0,0.46081504225730896,0.2708553671836853,7,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
12,2,407,272,5,1,1,1,NA,1,0,1,2,NA,55,71,1,7,0.6122449040412903,0.5760281085968018,0.4897959232330322,0.44621893763542175,0.051020409911870956,0.008113072253763676,0.0714285746216774,0.056791502982378006,7,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,4,465,1534,5,1,1,1,NA,1,0,1,1,NA,265,487,2,190,0.570135772228241,0.6823464632034302,0.3212669789791107,0.37129735946655273,0.006033182609826326,0.0028022441547363997,0.21417798101902008,0.26621320843696594,14,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,575,349,5,1,1,1,NA,1,0,1,3,NA,52,85,2,8,0.47560974955558777,0.47969380021095276,0.3048780560493469,0.2934597432613373,0.024390242993831635,0.01128691341727972,0.12804877758026123,0.04514765366911888,6,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
12,10,578,383,5,1,1,1,NA,1,0,0.8536585569381714,4,NA,68,87,0,0,0.4637681245803833,0.4681839644908905,0.4057970941066742,0.36593690514564514,0.007246376946568489,0,0.028985507786273956,0,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
12,10,581,217,5,1,1,1,NA,1,0,1,1,NA,66,75,1,1,0.6186440587043762,0.7820432186126709,0.5169491767883301,0.6881980299949646,0.033898305147886276,0.010427243076264858,0.008474576286971569,0.010427243076264858,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,589,667,5,1,1,1,NA,1,0,1,2,NA,105,145,0,10,0.7107142806053162,0.5410928726196289,0.6428571343421936,0.3918258845806122,0.0035714285913854837,0,0.02857142873108387,0.03731675073504448,7,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,24,1035,541,5,1,1,1,NA,1,0,1,4,NA,102,135,3,23,0.5580524206161499,0.6056455969810486,0.4082396924495697,0.45759889483451843,0.02247191034257412,0.013458791188895702,0.12734082341194153,0.10318406671285629,10,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
12,28,1126,3289,5,1,1,1,NA,1,0,1,2,NA,245,386,18,14,0.3122093081474304,0.23814430832862854,0.22441861033439636,0.15115377306938171,0.011627906933426857,0.011105175130069256,0.0651162788271904,0.00863735843449831,12,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
