treat,pctVV,elected,male,occBlue.collar,occEducation,occGovernment,occMedia,occNone,occOther,occPolitician,occWhite.collar,lat,long,ran.prior,incumbent,log.valid.votes,party.prior.pctVV,prior.pctVV,elec.year,match.partyPCB,match.partyPC.do.B,match.partyPDT,match.partyPFL,match.partyPL,match.partyPMDB,match.partyPMN,match.partyPP,match.partyPPS,match.partyPSB,match.partyPSC,match.partyPSDB,match.partyPSDC,match.partyPSL,match.partyPT,match.partyPTB,match.partyPV,uf.rs,uf.sp,yob,eduMore.than.Primary..Less.than.Superior,eduSome.Superior.or.More,log.total.assets,pt_pres_1998,psdb_2000,hdi_2000,income_2000,log.num.apps
0,2.7374156720290608,0,1,0,1,0,0,0,0,0,0,-10.4125,-65.32777777777777,0,0,8.950014029534257,0,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1977,0,1,0,0.06321674311926606,0,0.6589999794960022,132.46200561523438,0.6931471805599453
0,1.570048309178744,0,1,0,0,0,0,0,0,0,1,-11.712499999999999,-62.00111111111111,1,0,8.664923303440572,0,1.8793103448275863,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1964,0,0,0,0.10528292438657987,0,0.7070000171661377,210.71400451660156,0
1,0.85,0,1,0,0,0,1,0,0,0,0,-12.55888888888889,-60.905277777777776,0,0,8.847503625923641,0.48470160557406844,0,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,0,0,0,0.11481922924116011,0,0.7070000171661377,164.9739990234375,0
1,1.62,0,1,1,0,0,0,0,0,0,0,-11.029722222222222,-62.675,0,0,9.779114097696372,9.593644974029942,0,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,0,0,9.61587214452889,0.1397163120567376,0,0.6909999847412109,176.58399963378906,0
0,1.2995049504950495,0,0,0,1,0,0,0,0,0,0,-13.48861111111111,-61.05611111111111,0,0,7.38770923908104,9.802158273381295,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1961,0,1,0,0.04257528556593977,0.32279757901815737,0.7149999737739563,135.18499755859375,0
0,2.84,1,1,0,0,0,0,0,1,0,0,-11.131111111111112,-62.36611111111111,1,0,9.784478765953926,0,2.3706551337498,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1973,1,0,10.463131911491967,0.12923039865108996,0.17293319535472002,0.6710000038146973,128.29200744628906,0.6931471805599453
0,2.3706551337498,0,1,1,0,0,0,0,0,0,0,-11.131111111111112,-62.36611111111111,0,0,8.739216115061744,11.735817104149026,0,2004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1973,1,0,0,0.12923039865108996,0.17293319535472002,0.6710000038146973,128.29200744628906,0.6931471805599453
0,1.3406940063091484,0,1,0,1,0,0,0,0,0,0,-9.836388888888889,-62.166666666666664,1,1,8.24380842366528,7.68361581920904,3.088512241054614,2004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1953,0,1,0,0.12104575163398693,0,0.6880000233650208,227.26699829101562,0.6931471805599453
0,0.33,0,1,0,0,0,0,0,0,0,0,-10.07611111111111,-67.05805555555555,0,0,9.958733026762106,0.6710044733631557,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1940,0,0,11.002116507732017,0.10698610095098757,0.3383681096231704,0.6800000071525574,136.53900146484375,0.6931471805599453
0,5.197505197505198,1,1,1,0,0,0,0,0,0,0,-9.060555555555556,-68.66388888888889,0,0,9.471704136110091,30.083848564410943,0,2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,0,0,0,0.07408079342041606,0,0.6520000100135803,107.64399719238281,0.6931471805599453
0,2.49,0,1,0,0,0,0,0,0,1,0,-9.060555555555556,-68.66388888888889,1,1,10.857728960638758,10.98021098021098,5.197505197505198,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1974,1,0,7.601402334583733,0.07408079342041606,0,0.6520000100135803,107.64399719238281,0.6931471805599453
0,0.91,0,1,0,0,0,0,0,0,0,0,-9.725,-67.70111111111112,0,0,10.030736753451592,12.268565615462869,0,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1969,1,0,9.741027444837728,0.15707154742096505,0,0.6629999876022339,110.63400268554687,0
0,1.0907107798582076,0,0,0,1,0,0,0,0,0,0,-3.743888888888889,-61.65861111111111,0,0,8.612685172875459,0,0,2004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1963,1,0,0,0.05635509771246781,0.3022738114167594,0.6340000033378601,91.11900329589844,0.6931471805599453
0,0.67,0,1,0,1,0,0,0,0,0,0,-3.328888888888889,-61.21805555555556,0,0,9.371948887172596,28.25178264076715,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1958,0,1,9.210440366976517,0.045722414143466776,0,0.6240000128746033,78.01599884033203,0.6931471805599453
0,0.7267588573735743,0,1,0,0,0,0,0,0,0,1,-3.7680555555555557,-60.369166666666665,1,0,9.20099685697303,1.7467722686340459,0.40143213626993596,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1966,0,0,0,0.0639180494412462,0,0.6299999952316284,72.41100311279297,0.6931471805599453
0,5.07,1,1,0,1,0,0,0,0,0,0,-7.5424999999999995,-72.57583333333334,0,0,9.666054896487474,21.611570247933884,0,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,0,1,10.203629181337648,0.04657955418908532,0,0.5040000081062317,36.95600128173828,0
0,1.61,0,1,0,0,0,0,0,1,0,0,-3.2969444444444442,-60.621944444444445,1,1,11.698583117470207,0,2.1942501942501944,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1963,1,0,11.863589378812122,0.06325493500855486,0,0.6629999876022339,101.23300170898437,0.6931471805599453
0,0.19794129723760034,0,1,0,0,1,0,0,0,0,0,-3.0847222222222226,-59.97888888888889,1,0,13.467752879625895,5.949320535745019,0.14130972373949008,2004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,0,1,0,0.19764921394248203,0.018233071590498407,0.7739999890327454,262.3970031738281,1.3862943611198906
1,0.16,0,1,1,0,0,0,0,0,0,0,-3.0419444444444443,-59.95583333333334,0,0,14.719745307656678,4.874481430614354,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1966,0,1,11.918397239722838,0.19764921394248203,0.018233071590498407,0.7739999890327454,262.3970031738281,1.791759469228055
0,0.05,0,1,0,0,0,0,0,1,0,0,-3.14,-59.99305555555556,1,0,14.719745307656678,3.6010307672703075,0.0890594248658445,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1968,0,1,10.596659732783579,0.19764921394248203,0.018233071590498407,0.7739999890327454,262.3970031738281,2.5649493574615367
0,0.17,0,1,0,0,1,0,0,0,0,0,-3.107222222222222,-60.06027777777778,1,0,14.719745307656678,3.485635805003752,0.11454542880201624,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,0,1,13.541075028051122,0.19764921394248203,0.018233071590498407,0.7739999890327454,262.3970031738281,2.5649493574615367
0,0.01,0,1,0,0,0,0,0,1,0,0,-3.0191666666666666,-59.9175,0,0,14.719745307656678,4.120662069746698,0,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1,0,0,0.19764921394248203,0.018233071590498407,0.7739999890327454,262.3970031738281,2.5649493574615367
0,1.88,0,1,0,0,1,0,0,0,0,0,-3.5455555555555556,-57.69166666666666,0,0,10.622229377757554,0,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,1,0,0.19392940530146957,0,0.6890000104904175,96.11100006103516,0
0,4.035051966578358,1,1,0,0,0,0,0,0,0,1,-1.7794444444444444,-60.07138888888889,0,0,9.191565216649849,7.071776413296633,0,2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,1,0,0,0.10432861467964978,0,0.7409999966621399,188.2270050048828,0
0,3.1689423272875485,0,0,0,1,0,0,0,0,0,0,-2.051111111111111,-60.02472222222222,1,1,9.191565216649849,0.19055684946008894,3.3029853906415414,2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1958,0,1,0,0.10432861467964978,0,0.7409999966621399,188.2270050048828,0
1,3.8393489030431707,1,1,0,1,0,0,0,0,0,0,-3.102222222222222,-67.93972222222223,1,0,8.6397647438044185,3.451196273554944,2.265509210247724,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1966,0,1,0,0.03775776938716236,0,0.5249999761581421,46.48699951171875,0.6931471805599453
1,1.87,0,1,0,1,0,0,0,0,0,0,-3.102222222222222,-67.93972222222223,1,1,9.665484138314895,3.8393489030431707,3.8393489030431707,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1966,0,1,11.264476926102367,0.03775776938716236,0,0.5249999761581421,46.48699951171875,0.6931471805599453
