time,treatment,District,Region,city,lnarea,lnpopden,index_infra,index_agric,index_health,index_education,index_comms,index_bus_dev
0,0,1,1,1,1.5851452350616455,6.480434417724609,2,6,0,2,3,5.048067860305309
0,0,1,1,1,1.4109869003295898,6.495192050933838,4,5,0,2.003522898769006,1,2.0036845984868705
0,0,1,1,1,2.1377103328704834,6.02679967880249,3,51,7.280910504050553e-4,0.0017209425568580627,2,3.0042686397209764
0,0,1,1,1,1.342864751815796,5.80548095703125,2,5.943396210670471,0,2.004361843224615,3,3.1690251529216766
0,0,1,1,1,2.1479177474975586,5.515020370483398,3,8,1.1224534511566162,2.007995618507266,2,2.1099624037742615
0,0,1,1,1,1.1718627214431763,6.138687610626221,3,4.006684491876513,0.02868589758872986,1,3,1
0,0,1,1,1,2.0014801025390625,6.015827655792236,4,6.022749751806259,0,3.0073231970891356,2,4.068908669054508
0,0,1,1,1,1.3566080331802368,6.432018280029297,4,5.024865312501788,0.012544427998363972,2.0094083212316036,3,3.012432656250894
0,0,1,1,1,2.1511807441711426,5.6692585945129395,3,9,0.0014618546701967716,1.0015532206743956,2,2.0016057807952166
0,0,1,1,1,0.8671005368232727,6.4501118659973145,2,7,0,2.0082462085410953,3,2.029216468334198
0,0,1,1,1,1.495148777961731,5.82073450088501,4,7,0.028248587623238564,2.02437449619174,2,1.053191490471363
0,0,1,1,1,1.818076729774475,6.218173027038574,4,5.018764153122902,0.0022366188932210207,2.0016967452829704,3,3.0757036581635475
0,0,1,1,1,1.7578579187393188,6.169826984405518,3,5,0.0025321035645902157,2.0104901427403092,2,3.045077532529831
0,0,1,1,1,0.8808708190917969,6.445594787597656,1,5,0.026906628161668777,1.0179971493780613,2,0.009868420660495758
0,0,1,1,1,2.4773783683776855,5.595088958740234,3,5.065522618591785,1.006493506487459,2.0133689837530255,2,2.0330733247101307
0,0,1,1,1,1.722766637802124,6.051248550415039,4,8,0,1.0018965335329995,3,2.0067283431999385
0,0,1,1,1,2.51446533203125,4.700774669647217,2,4,0,1,2,2.072058826684952
0,0,1,1,1,1.479329228401184,6.599359035491943,4,7,0,1,3,1.0930232554674149
0,0,1,1,1,1.8205089569091797,5.697555065155029,4,6,1.0023009076248854,3.0043461588211358,2,2.0814774548634887
0,0,1,1,1,1.5706970691680908,6.701873302459717,3,8.039335887879133,1.0011786600807682,4.012406948022544,2,4
0,0,1,1,1,1.08856201171875,6.367892742156982,4,3,0,2.0023768024984747,3,3.014442518353462
0,0,1,1,1,1.650579810142517,6.075632572174072,3,9.000882223190274,1.0005388511926867,2.001939864247106,2,3.017644464969635
0,0,1,1,1,2.178154945373535,5.780072212219238,4,13.174886330962181,0.022994546219706535,1.0166874714195728,1,2.104931792244315
0,0,1,1,1,4.113656997680664,4.256195545196533,4,13,1,3,3,4
0,0,1,1,1,1.7833912372589111,5.835842132568359,3,5.002945508109406,6.771397893317044e-4,1.0013542795786634,2,3.0009818359976634
0,0,1,1,1,2.6210389137268066,5.636087417602539,4,5.060440986417234,0.01955723762512207,0.013764624483883381,2,2.02853437140584
0,0,1,1,1,1.597365379333496,5.636090278625488,4,6.1126353815197945,0.0015693112509325147,1.0043591978028417,2,0.19855596125125885
0,0,1,1,1,1.50629723072052,6.016643524169922,3,7.059459459036589,1.0209816880524158,3.0136063070967793,2,2.0491891875863075
0,0,1,1,1,1.0116009712219238,6.755239486694336,5,3,0.005538632161915302,3.0018462106818333,3,4.105887338519096
0,0,1,1,1,1.1442228555679321,6.072486400604248,2,9.007342143915594,0.011291779577732086,2.0338753387331963,3,2
0,0,1,1,1,1.1817271709442139,6.348752975463867,3,5.068669527769089,0.0023331777192652225,1.009332710877061,2,4.026824034750462
0,0,1,1,1,2.28340220451355,5.662507057189941,2,5.254603400826454,0,2.0111083881929517,3,3
0,0,1,1,1,2.1517622470855713,5.1621246337890625,3,9.20453031361103,0.04074186831712723,2.0247795674949884,2,3.0019986676052213
0,0,1,1,1,3.281662940979004,4.576977729797363,4,8,0.01091379951685667,2.0102663710713387,3,3.0463678501546383
0,0,1,1,1,1.9699056148529053,5.884863376617432,2,5.118696667253971,1.017014179378748,1.0090075060725212,2,2.0259891394525766
0,0,1,1,1,1.997417688369751,6.040771484375,5,23,0.001187749207019806,2.009756511077285,3,4.051662898156792
0,0,1,1,1,1.4632554054260254,5.971592426300049,3,5,0,3,3,4
0,0,1,1,1,2.6195831298828125,5.58289909362793,4,23.065753422677517,0.00487329438328743,0.011138958856463432,1,2.0145205478183925
0,0,1,1,1,0.6780335307121277,6.238681316375732,3,6,0.006808897014707327,3.018157059326768,3,3.0287413287442178
0,0,1,1,1,1.656321406364441,5.824106693267822,3,11,0,1.0206327363848686,0,1.0338409468531609
0,0,1,1,1,1.931086540222168,6.120573043823242,2,5,0.00340367597527802,1.0028742153663188,2,2.0079643197823316
0,0,1,1,1,1.2612978219985962,5.924846649169922,4,7,1.024164317175746,2.0040273861959577,2,1.2119606286287308
0,0,1,1,1,2.292433738708496,5.219637393951416,3,5.065573766827583,0.009653674438595772,1.0120670925825834,2,4.13661202788353
0,0,1,1,1,1.7119945287704468,6.522835731506348,4,3.014058355242014,0.04814305528998375,3.001237964257598,3,5.08355437964201
0,0,1,1,1,4.525043964385986,2.6225149631500244,2,13,0.18617886304855347,2.0642276406288147,3,3.162077099084854
0,0,1,1,1,3.0130808353424072,4.804141998291016,4,8.060410793870687,0.10341643542051315,1.0110803321003914,2,1.0177205000072718
0,0,1,1,1,1.2993738651275635,6.171419620513916,4,5,0.08077544718980789,1.0534360632300377,2,2.1793849635869265
