time,treatment,District,Region,city,lnarea,lnpopden,index_infra,index_agric,index_health,index_education,index_comms,index_bus_dev,totalland
1,0,101,1,1,2.6195831298828125,5.58289909362793,4,23.065753422677517,0.00487329438328743,0.011138958856463432,1,2.0145205478183925,1102
0,0,101,1,1,2.196112871170044,5.437256813049316,3,6.216360121965408,1,1.0436195358633995,2,0,641
1,0,101,1,1,2.178154945373535,5.780072212219238,4,13.174886330962181,0.022994546219706535,1.0166874714195728,1,2.104931792244315,753.29998779296875
1,0,101,1,1,3.0130808353424072,4.804141998291016,4,8.060410793870687,0.10341643542051315,1.0110803321003914,2,1.0177205000072718,1678.7000732421875
1,0,101,1,1,2.6210389137268066,5.636087417602539,4,5.060440986417234,0.01955723762512207,0.013764624483883381,2,2.02853437140584,808.50006103515625
0,0,101,1,1,2.6210389137268066,5.582265377044678,3,5.175198459997773,0.0212356336414814,2.0212356336414814,2,1.191623330116272,828
0,0,101,1,1,2.624668598175049,5.466652870178223,4,13,1.0118479765951633,3,3,3,1116.9000244140625
0,0,101,1,1,3.0130808353424072,4.852874279022217,2,3.0383582673966885,0.001921414164826274,2.0067249494604766,2,1.0115074794739485,1712
0,0,101,1,1,2.1479177474975586,5.498913764953613,3,9.127984717488289,0.004467434715479612,2.0029391017742455,3,4.106494747218676,674.29998779296875
1,0,101,1,1,2.1479177474975586,5.515020370483398,3,8,1.1224534511566162,2.007995618507266,2,2.1099624037742615,654.10003662109375
0,0,101,1,1,2.1792869567871094,5.757730484008789,4,10.36584493983537,0.04299190267920494,1.020869854837656,2,2.407288317102939,717.29998779296875
1,0,101,1,1,2.197002410888672,5.5523200035095215,3,9.025862069800496,1.1147169843316078,2.0342452824115753,3,3.0577586218714714,624.20001220703125
1,0,101,1,1,1.997417688369751,6.040771484375,5,23,0.001187749207019806,2.009756511077285,3,4.051662898156792,327
0,0,101,1,1,2.1377103328704834,5.976015567779541,3,5.014071856625378,0.0032038174103945494,2.002726653125137,2,2.0335329324007034,657.70001220703125
1,0,101,1,1,2.370243787765503,5.921051979064941,3,11,0.0030796565115451813,1.009949658997357,2,1.013035848736763,797
1,0,101,1,1,2.116255521774292,6.109515190124512,4,9,6.859651766717434e-4,1.0010289477650076,2,2.009368307888508,624
1,0,101,1,1,1.650579810142517,6.075632572174072,3,9.000882223190274,1.0005388511926867,2.001939864247106,2,3.017644464969635,414.6000061035156
0,0,101,1,1,2.371177911758423,5.790768146514893,3,5,9.415014064870775e-4,2.009415013715625,3,2.0736091285943985,797
1,0,101,1,1,2.1377103328704834,6.02679967880249,3,51,7.280910504050553e-4,0.0017209425568580627,2,3.0042686397209764,671.50006103515625
